label,feature_a,feature_b,sample_count,cramers_v
success,current_touch_number_bucket,touch_rebound_trend,64,0.09538568264297931
success,current_touch_number_bucket,touch_volume_level,106,0.1759904116565472
success,current_touch_number_bucket,volatility_level,106,0.2023846416844048
success,current_touch_number_bucket,support_source_count_bucket,106,0.1300556485796987
success,current_touch_number_bucket,distance_to_support_atr_bucket,106,0.1518314319191861
success,current_touch_number_bucket,zone_width_atr_bucket,106,0.06026254329023293
success,current_touch_number_bucket,bars_since_last_touch_bucket,87,0.1771836471537437
success,touch_rebound_trend,touch_volume_level,64,0.09063004255356573
success,touch_rebound_trend,volatility_level,64,0.08288857964847532
success,touch_rebound_trend,support_source_count_bucket,64,0.228485962589766
success,touch_rebound_trend,distance_to_support_atr_bucket,64,0.2468785890569533
success,touch_rebound_trend,zone_width_atr_bucket,64,0.1628195717685405
success,touch_rebound_trend,bars_since_last_touch_bucket,64,0.08419151909378421
success,touch_volume_level,volatility_level,106,0.13678826887739443
success,touch_volume_level,support_source_count_bucket,106,0.12200521249763467
success,touch_volume_level,distance_to_support_atr_bucket,106,0.2189710997076236
success,touch_volume_level,zone_width_atr_bucket,106,0.1615398310145455
success,touch_volume_level,bars_since_last_touch_bucket,87,0.19676353118987436
success,volatility_level,support_source_count_bucket,106,0.2634801892689889
success,volatility_level,distance_to_support_atr_bucket,106,0.1962149931882899
success,volatility_level,zone_width_atr_bucket,106,0.28141058827257937
success,volatility_level,bars_since_last_touch_bucket,87,0.1766060184872115
success,support_source_count_bucket,distance_to_support_atr_bucket,106,0.16046231885233875
success,support_source_count_bucket,zone_width_atr_bucket,106,0.5697234271190829
success,support_source_count_bucket,bars_since_last_touch_bucket,87,0.23098546776204187
success,distance_to_support_atr_bucket,zone_width_atr_bucket,106,0.251259453814803
success,distance_to_support_atr_bucket,bars_since_last_touch_bucket,87,0.12299760915794497
success,zone_width_atr_bucket,bars_since_last_touch_bucket,87,0.13155784353794756
failure,current_touch_number_bucket,touch_rebound_trend,141,0.14213593947659597
failure,current_touch_number_bucket,touch_volume_level,189,0.1255700353227793
failure,current_touch_number_bucket,volatility_level,189,0.2730480799717804
failure,current_touch_number_bucket,support_source_count_bucket,189,0.11870204449128527
failure,current_touch_number_bucket,distance_to_support_atr_bucket,189,0.1638350672124074
failure,current_touch_number_bucket,zone_width_atr_bucket,189,0.0690761995419085
failure,current_touch_number_bucket,bars_since_last_touch_bucket,162,0.15656012213446044
failure,touch_rebound_trend,touch_volume_level,141,0.20314495461403734
failure,touch_rebound_trend,volatility_level,141,0.09394439775031985
failure,touch_rebound_trend,support_source_count_bucket,141,0.13015867394866668
failure,touch_rebound_trend,distance_to_support_atr_bucket,141,0.16952248458245914
failure,touch_rebound_trend,zone_width_atr_bucket,141,0.21366706919068312
failure,touch_rebound_trend,bars_since_last_touch_bucket,141,0.10394188498121568
failure,touch_volume_level,volatility_level,189,0.1136630550164457
failure,touch_volume_level,support_source_count_bucket,189,0.11966956880863862
failure,touch_volume_level,distance_to_support_atr_bucket,189,0.1735781584901319
failure,touch_volume_level,zone_width_atr_bucket,189,0.1631011401803383
failure,touch_volume_level,bars_since_last_touch_bucket,162,0.15945849818583954
failure,volatility_level,support_source_count_bucket,189,0.14293179844825796
failure,volatility_level,distance_to_support_atr_bucket,189,0.18020608597108922
failure,volatility_level,zone_width_atr_bucket,189,0.2862991671569341
failure,volatility_level,bars_since_last_touch_bucket,162,0.15666226613330395
failure,support_source_count_bucket,distance_to_support_atr_bucket,189,0.10165413122310313
failure,support_source_count_bucket,zone_width_atr_bucket,189,0.26968228659732607
failure,support_source_count_bucket,bars_since_last_touch_bucket,162,0.17721964582750555
failure,distance_to_support_atr_bucket,zone_width_atr_bucket,189,0.11651531947401231
failure,distance_to_support_atr_bucket,bars_since_last_touch_bucket,162,0.08190064929817972
failure,zone_width_atr_bucket,bars_since_last_touch_bucket,162,0.14601397601836838
